"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
4;10;0,5;"wilcoxon";16;0,1365;0,1604
4;10;0,5;"perverso";16;0,137;0,1604
4;20;0;"t_test";1;0,0363;0,004
4;20;0;"wilcoxon";1;0,0464;0,004
4;20;0;"perverso";1;0,0466;0,004
4;20;0;"t_test";4;0,0838;0,0043
4;20;0;"wilcoxon";4;0,334;0,0043
4;20;0;"perverso";4;0,3342;0,0043
4;20;0;"t_test";16;0,1132;0,0056
4;20;0;"wilcoxon";16;0,4834;0,0056
4;20;0;"perverso";16;0,4829;0,0056
4;20;0,2;"t_test";1;0,1268;0,0038
4;20;0,2;"wilcoxon";1;0,3371;0,0038
4;20;0,2;"perverso";1;0,337;0,0038
4;20;0,2;"t_test";4;0,0384;0,004
4;20;0,2;"wilcoxon";4;0,1246;0,004
4;20;0,2;"perverso";4;0,1245;0,004
4;20;0,2;"t_test";16;0,0757;0,0042
4;20;0,2;"wilcoxon";16;0,3838;0,0042
4;20;0,2;"perverso";16;0,3837;0,0042
4;20;0,5;"t_test";1;0,4993;0,0035
4;20;0,5;"wilcoxon";1;0,8782;0,0035
4;20;0,5;"perverso";1;0,8783;0,0035
4;20;0,5;"t_test";4;0,13;0,0056
4;20;0,5;"wilcoxon";4;0,0896;0,0056
4;20;0,5;"perverso";4;0,09;0,0056
4;20;0,5;"t_test";16;0,0455;0,004
4;20;0,5;"wilcoxon";16;0,2279;0,004
4;20;0,5;"perverso";16;0,2281;0,004
4;50;0;"t_test";1;0,0427;0
4;50;0;"wilcoxon";1;0,0522;0
4;50;0;"perverso";1;0,0522;0
4;50;0;"t_test";4;0,0651;0
4;50;0;"wilcoxon";4;0,6479;0
4;50;0;"perverso";4;0,6479;0
4;50;0;"t_test";16;0,0894;0
4;50;0;"wilcoxon";16;0,8341;0
4;50;0;"perverso";16;0,8341;0
4;50;0,2;"t_test";1;0,2155;0
4;50;0,2;"wilcoxon";1;0,6794;0
4;50;0,2;"perverso";1;0,6794;0
4;50;0,2;"t_test";4;0,0581;0
4;50;0,2;"wilcoxon";4;0,2435;0
4;50;0,2;"perverso";4;0,2435;0
4;50;0,2;"t_test";16;0,0573;0
4;50;0,2;"wilcoxon";16;0,7194;0
4;50;0,2;"perverso";16;0,7194;0
4;50;0,5;"t_test";1;0,7467;0
4;50;0,5;"wilcoxon";1;0,9984;0
4;50;0,5;"perverso";1;0,9984;0
4;50;0,5;"t_test";4;0,3698;0
4;50;0,5;"wilcoxon";4;0,1588;0
4;50;0,5;"perverso";4;0,1588;0
4;50;0,5;"t_test";16;0,0707;0
4;50;0,5;"wilcoxon";16;0,4455;0
4;50;0,5;"perverso";16;0,4455;0
4;100;0;"t_test";1;0,0458;0
4;100;0;"wilcoxon";1;0,0498;0
4;100;0;"perverso";1;0,0498;0
4;100;0;"t_test";4;0,0603;0
4;100;0;"wilcoxon";4;0,909;0
4;100;0;"perverso";4;0,909;0
4;100;0;"t_test";16;0,0744;0
4;100;0;"wilcoxon";16;0,9822;0
4;100;0;"perverso";16;0,9822;0
4;100;0,2;"t_test";1;0,3481;0
4;100;0,2;"wilcoxon";1;0,9351;0
4;100;0,2;"perverso";1;0,9351;0
4;100;0,2;"t_test";4;0,1065;0
4;100;0,2;"wilcoxon";4;0,4227;0
4;100;0,2;"perverso";4;0,4227;0
4;100;0,2;"t_test";16;0,0518;0
4;100;0,2;"wilcoxon";16;0,9389;0
4;100;0,2;"perverso";16;0,9389;0
4;100;0,5;"t_test";1;0,923;0
4;100;0,5;"wilcoxon";1;1;0
4;100;0,5;"perverso";1;1;0
4;100;0,5;"t_test";4;0,677;0
4;100;0,5;"wilcoxon";4;0,2735;0
4;100;0,5;"perverso";4;0,2735;0
4;100;0,5;"t_test";16;0,1699;0
4;100;0,5;"wilcoxon";16;0,7051;0
4;100;0,5;"perverso";16;0,7051;0
5;10;0;"t_test";1;0,054;0,7828
5;10;0;"wilcoxon";1;0,0519;0,7828
